team,game,season,starting_minute,end_minute,0,1,2,3,4
GSW,201510270GSW,2016,0,7,Andrew Bogut,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201510270GSW,2016,8,8,Andre Iguodala,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201510270GSW,2016,9,9,Andre Iguodala,Draymond Green,Harrison Barnes,Leandro Barbosa,Stephen Curry
GSW,201510270GSW,2016,10,11,Andre Iguodala,Festus Ezeli,Harrison Barnes,Leandro Barbosa,Stephen Curry
GSW,201510270GSW,2016,12,12,Andre Iguodala,Festus Ezeli,James Michael McAdoo,Leandro Barbosa,Stephen Curry
GSW,201510270GSW,2016,13,13,Andre Iguodala,Festus Ezeli,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201510270GSW,2016,14,16,Andre Iguodala,Klay Thompson,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201510270GSW,2016,17,17,Draymond Green,Harrison Barnes,Leandro Barbosa,Shaun Livingston,Stephen Curry
GSW,201510270GSW,2016,18,20,Andrew Bogut,Draymond Green,Harrison Barnes,Shaun Livingston,Stephen Curry
GSW,201510270GSW,2016,21,24,Andre Iguodala,Andrew Bogut,Harrison Barnes,Leandro Barbosa,Stephen Curry
GSW,201510270GSW,2016,25,29,Andrew Bogut,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201510270GSW,2016,30,32,Andre Iguodala,Draymond Green,Festus Ezeli,Klay Thompson,Stephen Curry
GSW,201510270GSW,2016,33,33,Andre Iguodala,Draymond Green,Festus Ezeli,Leandro Barbosa,Stephen Curry
GSW,201510270GSW,2016,34,35,Andre Iguodala,Festus Ezeli,Harrison Barnes,Leandro Barbosa,Shaun Livingston
GSW,201510270GSW,2016,36,39,Andre Iguodala,Harrison Barnes,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201510270GSW,2016,40,43,Draymond Green,Festus Ezeli,Klay Thompson,Shaun Livingston,Stephen Curry
GSW,201510270GSW,2016,44,46,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201510270GSW,2016,47,47,Brandon Rush,James Michael McAdoo,Leandro Barbosa,Marreese Speights,Shaun Livingston
NOP,201510270GSW,2016,0,4,Anthony Davis,Dante Cunningham,Eric Gordon,Kendrick Perkins,Nate Robinson
NOP,201510270GSW,2016,5,7,Anthony Davis,Dante Cunningham,Eric Gordon,Ish Smith,Kendrick Perkins
NOP,201510270GSW,2016,8,11,Alexis Ajinca,Anthony Davis,Dante Cunningham,Eric Gordon,Ish Smith
NOP,201510270GSW,2016,12,12,Alexis Ajinca,Alonzo Gee,Anthony Davis,Eric Gordon,Ish Smith
NOP,201510270GSW,2016,13,14,Alexis Ajinca,Alonzo Gee,Eric Gordon,Ish Smith,Ryan Anderson
NOP,201510270GSW,2016,15,16,Alonzo Gee,Anthony Davis,Dante Cunningham,Ish Smith,Ryan Anderson
NOP,201510270GSW,2016,17,19,Alonzo Gee,Anthony Davis,Dante Cunningham,Nate Robinson,Ryan Anderson
NOP,201510270GSW,2016,20,20,Dante Cunningham,Eric Gordon,Kendrick Perkins,Nate Robinson,Ryan Anderson
NOP,201510270GSW,2016,21,23,Dante Cunningham,Eric Gordon,Ish Smith,Kendrick Perkins,Ryan Anderson
NOP,201510270GSW,2016,24,24,Anthony Davis,Dante Cunningham,Eric Gordon,Nate Robinson,Ryan Anderson
NOP,201510270GSW,2016,25,26,Anthony Davis,Dante Cunningham,Eric Gordon,Kendrick Perkins,Nate Robinson
NOP,201510270GSW,2016,27,29,Anthony Davis,Dante Cunningham,Eric Gordon,Ish Smith,Ryan Anderson
NOP,201510270GSW,2016,30,35,Alonzo Gee,Anthony Davis,Eric Gordon,Ish Smith,Ryan Anderson
NOP,201510270GSW,2016,36,38,Alexis Ajinca,Alonzo Gee,Ish Smith,Nate Robinson,Ryan Anderson
NOP,201510270GSW,2016,39,39,Alexis Ajinca,Alonzo Gee,Anthony Davis,Ish Smith,Nate Robinson
NOP,201510270GSW,2016,40,43,Alexis Ajinca,Alonzo Gee,Anthony Davis,Eric Gordon,Ish Smith
NOP,201510270GSW,2016,44,46,Alonzo Gee,Ish Smith,Kendrick Perkins,Nate Robinson,Ryan Anderson
NOP,201510270GSW,2016,47,47,Alexis Ajinca,Alonzo Gee,Ish Smith,Nate Robinson,Ryan Anderson
GSW,201510300HOU,2016,0,6,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201510300HOU,2016,7,9,Andre Iguodala,Draymond Green,Festus Ezeli,Shaun Livingston,Stephen Curry
GSW,201510300HOU,2016,10,10,Andre Iguodala,Harrison Barnes,Marreese Speights,Shaun Livingston,Stephen Curry
GSW,201510300HOU,2016,11,16,Andre Iguodala,Harrison Barnes,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201510300HOU,2016,17,17,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201510300HOU,2016,18,22,Andre Iguodala,Draymond Green,Festus Ezeli,Klay Thompson,Stephen Curry
GSW,201510300HOU,2016,23,24,Andre Iguodala,Draymond Green,Jason Thompson,Klay Thompson,Stephen Curry
GSW,201510300HOU,2016,25,29,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201510300HOU,2016,30,30,Draymond Green,Harrison Barnes,James Michael McAdoo,Klay Thompson,Stephen Curry
GSW,201510300HOU,2016,31,32,Andre Iguodala,Draymond Green,James Michael McAdoo,Klay Thompson,Shaun Livingston
GSW,201510300HOU,2016,33,33,Andre Iguodala,Draymond Green,Festus Ezeli,Klay Thompson,Shaun Livingston
GSW,201510300HOU,2016,34,34,Andre Iguodala,Draymond Green,Festus Ezeli,Leandro Barbosa,Shaun Livingston
GSW,201510300HOU,2016,35,36,Andre Iguodala,Festus Ezeli,Harrison Barnes,Leandro Barbosa,Shaun Livingston
GSW,201510300HOU,2016,37,39,Andre Iguodala,Harrison Barnes,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201510300HOU,2016,40,42,Andre Iguodala,Draymond Green,Leandro Barbosa,Marreese Speights,Stephen Curry
GSW,201510300HOU,2016,43,43,Andre Iguodala,Brandon Rush,Draymond Green,Harrison Barnes,Stephen Curry
GSW,201510300HOU,2016,44,47,Brandon Rush,Ian Clark,James Michael McAdoo,Jason Thompson,Leandro Barbosa
HOU,201510300HOU,2016,0,5,Dwight Howard,James Harden,Terrence Jones,Trevor Ariza,Ty Lawson
HOU,201510300HOU,2016,6,6,Clint Capela,James Harden,Terrence Jones,Trevor Ariza,Ty Lawson
HOU,201510300HOU,2016,7,7,Clint Capela,James Harden,Montrezl Harrell,Trevor Ariza,Ty Lawson
HOU,201510300HOU,2016,8,8,Clint Capela,James Harden,Montrezl Harrell,Patrick Beverley,Trevor Ariza
HOU,201510300HOU,2016,9,9,Clint Capela,Corey Brewer,James Harden,Montrezl Harrell,Patrick Beverley
HOU,201510300HOU,2016,10,12,Clint Capela,Corey Brewer,Montrezl Harrell,Patrick Beverley,Ty Lawson
HOU,201510300HOU,2016,13,16,Corey Brewer,Dwight Howard,James Harden,Terrence Jones,Ty Lawson
HOU,201510300HOU,2016,17,19,Clint Capela,James Harden,Patrick Beverley,Terrence Jones,Trevor Ariza
HOU,201510300HOU,2016,20,22,Clint Capela,James Harden,Montrezl Harrell,Trevor Ariza,Ty Lawson
HOU,201510300HOU,2016,23,24,Clint Capela,Corey Brewer,James Harden,Trevor Ariza,Ty Lawson
HOU,201510300HOU,2016,25,29,Dwight Howard,James Harden,Terrence Jones,Trevor Ariza,Ty Lawson
HOU,201510300HOU,2016,30,30,Clint Capela,James Harden,Terrence Jones,Trevor Ariza,Ty Lawson
HOU,201510300HOU,2016,31,32,Clint Capela,Corey Brewer,James Harden,Trevor Ariza,Ty Lawson
HOU,201510300HOU,2016,33,36,Corey Brewer,Dwight Howard,James Harden,Patrick Beverley,Trevor Ariza
HOU,201510300HOU,2016,37,39,Corey Brewer,Dwight Howard,Montrezl Harrell,Patrick Beverley,Ty Lawson
HOU,201510300HOU,2016,40,42,Corey Brewer,James Harden,Montrezl Harrell,Patrick Beverley,Ty Lawson
HOU,201510300HOU,2016,43,43,Corey Brewer,James Harden,Montrezl Harrell,Trevor Ariza,Ty Lawson
HOU,201510300HOU,2016,44,44,Corey Brewer,K.J. McDaniels,Montrezl Harrell,Sam Dekker,Ty Lawson
HOU,201510300HOU,2016,45,47,Corey Brewer,K.J. McDaniels,Montrezl Harrell,Patrick Beverley,Sam Dekker
GSW,201510310NOP,2016,0,6,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201510310NOP,2016,7,9,Andre Iguodala,Draymond Green,Festus Ezeli,Shaun Livingston,Stephen Curry
GSW,201510310NOP,2016,10,12,Andre Iguodala,Draymond Green,Marreese Speights,Shaun Livingston,Stephen Curry
GSW,201510310NOP,2016,13,16,Andre Iguodala,Harrison Barnes,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201510310NOP,2016,17,19,Festus Ezeli,Harrison Barnes,Klay Thompson,Leandro Barbosa,Stephen Curry
GSW,201510310NOP,2016,20,20,Draymond Green,Harrison Barnes,James Michael McAdoo,Klay Thompson,Stephen Curry
GSW,201510310NOP,2016,21,21,Brandon Rush,Draymond Green,James Michael McAdoo,Klay Thompson,Stephen Curry
GSW,201510310NOP,2016,22,24,Brandon Rush,Draymond Green,Klay Thompson,Marreese Speights,Shaun Livingston
GSW,201510310NOP,2016,25,28,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201510310NOP,2016,29,33,Andre Iguodala,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201510310NOP,2016,34,36,Andre Iguodala,Brandon Rush,Draymond Green,Shaun Livingston,Stephen Curry
GSW,201510310NOP,2016,37,40,Andre Iguodala,Brandon Rush,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201510310NOP,2016,41,41,Andre Iguodala,Draymond Green,Harrison Barnes,Leandro Barbosa,Shaun Livingston
GSW,201510310NOP,2016,42,43,Andre Iguodala,Draymond Green,Harrison Barnes,Shaun Livingston,Stephen Curry
GSW,201510310NOP,2016,44,47,Andre Iguodala,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry
NOP,201510310NOP,2016,0,2,Anthony Davis,Dante Cunningham,Eric Gordon,Jrue Holiday,Kendrick Perkins
NOP,201510310NOP,2016,3,5,Anthony Davis,Dante Cunningham,Eric Gordon,Jrue Holiday,Omer Asik
NOP,201510310NOP,2016,6,6,Anthony Davis,Dante Cunningham,Ish Smith,Jrue Holiday,Omer Asik
NOP,201510310NOP,2016,7,9,Anthony Davis,Dante Cunningham,Ish Smith,Omer Asik,Toney Douglas
NOP,201510310NOP,2016,10,12,Anthony Davis,Ish Smith,Luke Babbitt,Ryan Anderson,Toney Douglas
NOP,201510310NOP,2016,13,18,Alexis Ajinca,Eric Gordon,Luke Babbitt,Ryan Anderson,Toney Douglas
NOP,201510310NOP,2016,19,19,Anthony Davis,Eric Gordon,Jrue Holiday,Luke Babbitt,Ryan Anderson
NOP,201510310NOP,2016,20,24,Anthony Davis,Jrue Holiday,Luke Babbitt,Ryan Anderson,Toney Douglas
NOP,201510310NOP,2016,25,25,Anthony Davis,Dante Cunningham,Eric Gordon,Jrue Holiday,Omer Asik
NOP,201510310NOP,2016,26,27,Alonzo Gee,Anthony Davis,Dante Cunningham,Jrue Holiday,Omer Asik
NOP,201510310NOP,2016,28,31,Alonzo Gee,Anthony Davis,Dante Cunningham,Jrue Holiday,Luke Babbitt
NOP,201510310NOP,2016,32,32,Alonzo Gee,Anthony Davis,Dante Cunningham,Luke Babbitt,Toney Douglas
NOP,201510310NOP,2016,33,36,Alonzo Gee,Anthony Davis,Luke Babbitt,Ryan Anderson,Toney Douglas
NOP,201510310NOP,2016,37,38,Dante Cunningham,Eric Gordon,Ish Smith,Luke Babbitt,Ryan Anderson
NOP,201510310NOP,2016,39,41,Alonzo Gee,Dante Cunningham,Eric Gordon,Ish Smith,Ryan Anderson
NOP,201510310NOP,2016,42,43,Alonzo Gee,Anthony Davis,Eric Gordon,Jrue Holiday,Ryan Anderson
NOP,201510310NOP,2016,44,47,Anthony Davis,Eric Gordon,Jrue Holiday,Luke Babbitt,Ryan Anderson
GSW,201511020GSW,2016,0,6,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201511020GSW,2016,7,8,Andre Iguodala,Draymond Green,Festus Ezeli,Klay Thompson,Stephen Curry
GSW,201511020GSW,2016,9,9,Andre Iguodala,Draymond Green,Klay Thompson,Marreese Speights,Stephen Curry
GSW,201511020GSW,2016,10,10,Andre Iguodala,Draymond Green,Marreese Speights,Shaun Livingston,Stephen Curry
GSW,201511020GSW,2016,11,12,Andre Iguodala,Harrison Barnes,Marreese Speights,Shaun Livingston,Stephen Curry
GSW,201511020GSW,2016,13,17,Andre Iguodala,Harrison Barnes,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201511020GSW,2016,18,18,Draymond Green,Harrison Barnes,Klay Thompson,Leandro Barbosa,Shaun Livingston
GSW,201511020GSW,2016,19,19,Draymond Green,Harrison Barnes,Klay Thompson,Leandro Barbosa,Stephen Curry
GSW,201511020GSW,2016,20,21,Brandon Rush,Draymond Green,Festus Ezeli,Klay Thompson,Stephen Curry
GSW,201511020GSW,2016,22,24,Andre Iguodala,Draymond Green,Festus Ezeli,Klay Thompson,Stephen Curry
GSW,201511020GSW,2016,25,29,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201511020GSW,2016,30,32,Andre Iguodala,Draymond Green,Festus Ezeli,Klay Thompson,Stephen Curry
GSW,201511020GSW,2016,33,34,Andre Iguodala,Draymond Green,James Michael McAdoo,Klay Thompson,Stephen Curry
GSW,201511020GSW,2016,35,36,Andre Iguodala,James Michael McAdoo,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201511020GSW,2016,37,37,Andre Iguodala,Ian Clark,James Michael McAdoo,Leandro Barbosa,Marreese Speights
GSW,201511020GSW,2016,38,38,Brandon Rush,Ian Clark,James Michael McAdoo,Leandro Barbosa,Marreese Speights
GSW,201511020GSW,2016,39,42,Brandon Rush,Ian Clark,James Michael McAdoo,Jason Thompson,Leandro Barbosa
GSW,201511020GSW,2016,43,47,Brandon Rush,Ian Clark,James Michael McAdoo,Jason Thompson,Marreese Speights
MEM,201511020GSW,2016,0,6,Courtney Lee,Marc Gasol,Mike Conley,Tony Allen,Zach Randolph
MEM,201511020GSW,2016,7,8,Courtney Lee,Jeff Green,Marc Gasol,Mike Conley,Zach Randolph
MEM,201511020GSW,2016,9,9,JaMychal Green,Jeff Green,Marc Gasol,Matt Barnes,Mike Conley
MEM,201511020GSW,2016,10,11,Beno Udrih,JaMychal Green,Jeff Green,Marc Gasol,Matt Barnes
MEM,201511020GSW,2016,12,14,Beno Udrih,Brandan Wright,JaMychal Green,Jeff Green,Matt Barnes
MEM,201511020GSW,2016,15,17,Beno Udrih,Brandan Wright,Jeff Green,Matt Barnes,Vince Carter
MEM,201511020GSW,2016,18,18,Jeff Green,Matt Barnes,Mike Conley,Vince Carter,Zach Randolph
MEM,201511020GSW,2016,19,22,Courtney Lee,Marc Gasol,Mike Conley,Tony Allen,Zach Randolph
MEM,201511020GSW,2016,23,24,Courtney Lee,Jeff Green,Marc Gasol,Mike Conley,Zach Randolph
MEM,201511020GSW,2016,25,26,Courtney Lee,Marc Gasol,Mike Conley,Tony Allen,Zach Randolph
MEM,201511020GSW,2016,27,29,Courtney Lee,Marc Gasol,Matt Barnes,Mike Conley,Zach Randolph
MEM,201511020GSW,2016,30,32,Courtney Lee,JaMychal Green,Marc Gasol,Matt Barnes,Mike Conley
MEM,201511020GSW,2016,33,34,Courtney Lee,Jeff Green,Marc Gasol,Matt Barnes,Mike Conley
MEM,201511020GSW,2016,35,36,Beno Udrih,Brandan Wright,Jeff Green,Jordan Adams,Matt Barnes
MEM,201511020GSW,2016,37,41,Beno Udrih,Brandan Wright,JaMychal Green,Jordan Adams,Vince Carter
MEM,201511020GSW,2016,42,47,Brandan Wright,JaMychal Green,Matt Barnes,Russ Smith,Vince Carter
GSW,201511040GSW,2016,0,3,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201511040GSW,2016,4,5,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Shaun Livingston
GSW,201511040GSW,2016,6,7,Andre Iguodala,Draymond Green,Festus Ezeli,Klay Thompson,Shaun Livingston
GSW,201511040GSW,2016,8,9,Andre Iguodala,Draymond Green,Klay Thompson,Marreese Speights,Shaun Livingston
GSW,201511040GSW,2016,10,10,Andre Iguodala,Draymond Green,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201511040GSW,2016,11,12,Andre Iguodala,Harrison Barnes,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201511040GSW,2016,13,14,Andre Iguodala,Harrison Barnes,Leandro Barbosa,Marreese Speights,Stephen Curry
GSW,201511040GSW,2016,15,16,Andre Iguodala,Draymond Green,Harrison Barnes,Leandro Barbosa,Stephen Curry
GSW,201511040GSW,2016,17,19,Andre Iguodala,Draymond Green,Festus Ezeli,Klay Thompson,Stephen Curry
GSW,201511040GSW,2016,20,30,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201511040GSW,2016,31,32,Andre Iguodala,Draymond Green,Festus Ezeli,Klay Thompson,Stephen Curry
GSW,201511040GSW,2016,33,34,Andre Iguodala,Draymond Green,Marreese Speights,Shaun Livingston,Stephen Curry
GSW,201511040GSW,2016,35,35,Andre Iguodala,Draymond Green,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201511040GSW,2016,36,40,Andre Iguodala,Harrison Barnes,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201511040GSW,2016,41,47,Andre Iguodala,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry
LAC,201511040GSW,2016,0,7,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Lance Stephenson
LAC,201511040GSW,2016,8,8,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Paul Pierce
LAC,201511040GSW,2016,9,11,Austin Rivers,Blake Griffin,Jamal Crawford,Josh Smith,Paul Pierce
LAC,201511040GSW,2016,12,14,Austin Rivers,Jamal Crawford,Josh Smith,Paul Pierce,Wesley Johnson
LAC,201511040GSW,2016,15,15,Austin Rivers,DeAndre Jordan,Jamal Crawford,Paul Pierce,Wesley Johnson
LAC,201511040GSW,2016,16,16,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Paul Pierce
LAC,201511040GSW,2016,17,21,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Lance Stephenson
LAC,201511040GSW,2016,22,24,Austin Rivers,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick
LAC,201511040GSW,2016,25,28,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Lance Stephenson
LAC,201511040GSW,2016,29,32,Austin Rivers,Blake Griffin,DeAndre Jordan,J.J. Redick,Lance Stephenson
LAC,201511040GSW,2016,33,35,Austin Rivers,Blake Griffin,DeAndre Jordan,Jamal Crawford,Lance Stephenson
LAC,201511040GSW,2016,36,36,Austin Rivers,Blake Griffin,Jamal Crawford,Josh Smith,Paul Pierce
LAC,201511040GSW,2016,37,38,Austin Rivers,Jamal Crawford,Josh Smith,Paul Pierce,Wesley Johnson
LAC,201511040GSW,2016,39,41,Chris Paul,Jamal Crawford,Josh Smith,Paul Pierce,Wesley Johnson
LAC,201511040GSW,2016,42,42,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Paul Pierce
LAC,201511040GSW,2016,43,43,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Paul Pierce
LAC,201511040GSW,2016,44,47,Austin Rivers,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick
GSW,201511060GSW,2016,0,6,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201511060GSW,2016,7,7,Andre Iguodala,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201511060GSW,2016,8,8,Andre Iguodala,Draymond Green,Klay Thompson,Marreese Speights,Stephen Curry
GSW,201511060GSW,2016,9,9,Andre Iguodala,Draymond Green,Marreese Speights,Shaun Livingston,Stephen Curry
GSW,201511060GSW,2016,10,12,Andre Iguodala,Harrison Barnes,Marreese Speights,Shaun Livingston,Stephen Curry
GSW,201511060GSW,2016,13,16,Andre Iguodala,Harrison Barnes,James Michael McAdoo,Leandro Barbosa,Shaun Livingston
GSW,201511060GSW,2016,17,18,Draymond Green,Festus Ezeli,Klay Thompson,Leandro Barbosa,Shaun Livingston
GSW,201511060GSW,2016,19,19,Draymond Green,Festus Ezeli,Ian Clark,Klay Thompson,Stephen Curry
GSW,201511060GSW,2016,20,24,Draymond Green,Ian Clark,Jason Thompson,Klay Thompson,Stephen Curry
GSW,201511060GSW,2016,25,31,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201511060GSW,2016,32,34,Andre Iguodala,Draymond Green,Klay Thompson,Marreese Speights,Stephen Curry
GSW,201511060GSW,2016,35,36,Andre Iguodala,Draymond Green,Marreese Speights,Shaun Livingston,Stephen Curry
GSW,201511060GSW,2016,37,38,Andre Iguodala,Harrison Barnes,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201511060GSW,2016,39,42,Andre Iguodala,Harrison Barnes,James Michael McAdoo,Leandro Barbosa,Shaun Livingston
GSW,201511060GSW,2016,43,45,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201511060GSW,2016,46,46,Andre Iguodala,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201511060GSW,2016,47,47,Brandon Rush,Ian Clark,James Michael McAdoo,Jason Thompson,Marreese Speights
DEN,201511060GSW,2016,0,5,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,Kenneth Faried,Will Barton
DEN,201511060GSW,2016,6,6,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,J.J. Hickson,Will Barton
DEN,201511060GSW,2016,7,7,Danilo Gallinari,Gary Harris,J.J. Hickson,Jameer Nelson,Will Barton
DEN,201511060GSW,2016,8,9,Danilo Gallinari,J.J. Hickson,Jameer Nelson,Randy Foye,Will Barton
DEN,201511060GSW,2016,10,11,Danilo Gallinari,J.J. Hickson,Jameer Nelson,Mike Miller,Randy Foye
DEN,201511060GSW,2016,12,12,Gary Harris,J.J. Hickson,Jameer Nelson,Mike Miller,Randy Foye
DEN,201511060GSW,2016,13,14,Gary Harris,Jameer Nelson,Mike Miller,Nikola Jokic,Randy Foye
DEN,201511060GSW,2016,15,16,Emmanuel Mudiay,Gary Harris,Jameer Nelson,Mike Miller,Nikola Jokic
DEN,201511060GSW,2016,17,18,Danilo Gallinari,Darrell Arthur,Emmanuel Mudiay,Gary Harris,Kenneth Faried
DEN,201511060GSW,2016,19,31,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,Kenneth Faried,Will Barton
DEN,201511060GSW,2016,32,33,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,Nikola Jokic,Will Barton
DEN,201511060GSW,2016,34,35,Danilo Gallinari,Emmanuel Mudiay,Nikola Jokic,Randy Foye,Will Barton
DEN,201511060GSW,2016,36,36,Danilo Gallinari,Jameer Nelson,Nikola Jokic,Randy Foye,Will Barton
DEN,201511060GSW,2016,37,43,Darrell Arthur,Jameer Nelson,Nikola Jokic,Randy Foye,Will Barton
DEN,201511060GSW,2016,44,44,Danilo Gallinari,Darrell Arthur,Jameer Nelson,Randy Foye,Will Barton
DEN,201511060GSW,2016,45,47,Danilo Gallinari,Darrell Arthur,Emmanuel Mudiay,Jameer Nelson,Will Barton
GSW,201511070SAC,2016,0,7,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201511070SAC,2016,8,8,Andre Iguodala,Draymond Green,Festus Ezeli,Klay Thompson,Stephen Curry
GSW,201511070SAC,2016,9,11,Andre Iguodala,Draymond Green,Jason Thompson,Shaun Livingston,Stephen Curry
GSW,201511070SAC,2016,12,12,Andre Iguodala,Harrison Barnes,Jason Thompson,Shaun Livingston,Stephen Curry
GSW,201511070SAC,2016,13,15,Andre Iguodala,Harrison Barnes,Jason Thompson,Leandro Barbosa,Shaun Livingston
GSW,201511070SAC,2016,16,17,Andre Iguodala,Harrison Barnes,Leandro Barbosa,Marreese Speights,Shaun Livingston
GSW,201511070SAC,2016,18,18,Draymond Green,Klay Thompson,Leandro Barbosa,Marreese Speights,Stephen Curry
GSW,201511070SAC,2016,19,19,Draymond Green,Festus Ezeli,Klay Thompson,Leandro Barbosa,Stephen Curry
GSW,201511070SAC,2016,20,23,Andre Iguodala,Draymond Green,Festus Ezeli,Klay Thompson,Stephen Curry
GSW,201511070SAC,2016,24,24,Andre Iguodala,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201511070SAC,2016,25,26,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201511070SAC,2016,27,31,Andre Iguodala,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201511070SAC,2016,32,35,Andre Iguodala,Draymond Green,Klay Thompson,Shaun Livingston,Stephen Curry
GSW,201511070SAC,2016,36,36,Andre Iguodala,Draymond Green,Leandro Barbosa,Shaun Livingston,Stephen Curry
GSW,201511070SAC,2016,37,39,Andre Iguodala,Festus Ezeli,Harrison Barnes,Leandro Barbosa,Shaun Livingston
GSW,201511070SAC,2016,40,40,Festus Ezeli,Harrison Barnes,Klay Thompson,Leandro Barbosa,Shaun Livingston
GSW,201511070SAC,2016,41,42,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
GSW,201511070SAC,2016,43,47,Andre Iguodala,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry
SAC,201511070SAC,2016,0,6,James Anderson,Kosta Koufos,Quincy Acy,Rajon Rondo,Rudy Gay
SAC,201511070SAC,2016,7,7,Kosta Koufos,Marco Belinelli,Quincy Acy,Rajon Rondo,Rudy Gay
SAC,201511070SAC,2016,8,8,Marco Belinelli,Quincy Acy,Rajon Rondo,Rudy Gay,Willie Cauley-Stein
SAC,201511070SAC,2016,9,9,Marco Belinelli,Omri Casspi,Quincy Acy,Rajon Rondo,Willie Cauley-Stein
SAC,201511070SAC,2016,10,14,Caron Butler,Marco Belinelli,Omri Casspi,Rajon Rondo,Willie Cauley-Stein
SAC,201511070SAC,2016,15,15,Caron Butler,Kosta Koufos,Marco Belinelli,Omri Casspi,Rudy Gay
SAC,201511070SAC,2016,16,17,Ben McLemore,Kosta Koufos,Marco Belinelli,Omri Casspi,Rudy Gay
SAC,201511070SAC,2016,18,19,Ben McLemore,Kosta Koufos,Omri Casspi,Rajon Rondo,Rudy Gay
SAC,201511070SAC,2016,20,22,Ben McLemore,Kosta Koufos,Quincy Acy,Rajon Rondo,Rudy Gay
SAC,201511070SAC,2016,23,23,Ben McLemore,Kosta Koufos,Marco Belinelli,Rajon Rondo,Rudy Gay
SAC,201511070SAC,2016,24,24,Ben McLemore,Marco Belinelli,Quincy Acy,Rajon Rondo,Willie Cauley-Stein
SAC,201511070SAC,2016,25,27,James Anderson,Kosta Koufos,Quincy Acy,Rajon Rondo,Rudy Gay
